source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
nguyenkim,apple,macbook pro m1 2020 13 inch 256gb myd82sa/a xám,apple m1,n/a,8,đang cập nhật,256,ssd,yes,13.0,2560x1600,n/a,n/a,lithium-polymer,lithium-polymer,1.4,macos,12,27590000,30.41,21.24,1.56,n/a,n/a,n/a,n/a,n/a
nguyenkim,hp,hp pavilion x360 14-ek2017tu core 5-120u/16gb/512gb/win11 (9z2v5pa),intel core 5 120u,n/a,16,ddr4,512,ssd,yes,14.0,1920x1080,n/a,n/a,43.3,3,1.492,windows 11 home,12,22990000,32.2,21.0,1.99,0,2,1,0,1
nguyenkim,apple,macbook air m2 2022 8gb/256gb/8 core gpu mlxy3sa/a bạc,apple m2,n/a,8,n/a,256,ssd,yes,13.6,2560x1664,n/a,n/a,n/a,n/a,1.24,macos,12,23890000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
nguyenkim,asus,asus vivobook 14x oled i9-13900h/16gb/512gb/win11 (s3405va-km071w),intel core i9-13900h,n/a,16,ddr4,512,ssd,yes,14.0,2880x1800,n/a,n/a,63.0,3,1.4,windows 11 home,24,22490000,31.71,22.25,1.89,0,2,1,0,0
nguyenkim,hp,hp pavilion x360 14-ek2013tu core 7-150u/16gb/512gb/win11 (9z2v4pa),intel core 7 150u,n/a,16,ddr4,512,ssd,yes,14.0,1920x1080,n/a,n/a,43.3,3,1.495,windows 11 home,12,26490000,32.2,21.0,1.99,0,2,1,0,1
nguyenkim,apple,macbook air m2 2023 8gb/256gb/10 core gpu mqku3sa/a vàng,apple m2,n/a,8,n/a,256,ssd,yes,15.3,2880x1864,n/a,n/a,thời lượng lên đến 18 giờ hãng công bố,thời lượng lên đến 18 giờ (hãng công bố),1.51,macos,12,26990000,34.04,23.76,1.15,n/a,n/a,n/a,n/a,n/a
nguyenkim,hp,hp envy x360 14-fc0091tu u5-125u/16gb/1tb/win11 (a19c1pa),intel core ultra 5 125u,n/a,16,ddr5,1024,ssd,yes,14.0,2880x1800,n/a,n/a,59.16,3,1.36,windows 11 home,12,29990000,31.34,21.89,1.69,0,2,1,0,1
nguyenkim,hp,hp 14-ep1011tu core 5-120u/16gb/512gb/win11 (9z2w3pa),intel core 5 120u,n/a,16,ddr4,512,ssd,yes,14.0,1920x1080,n/a,n/a,41.04,3,1.398,windows 11 home,12,18290000,32.4,21.5,1.79,0,2,1,0,1
nguyenkim,apple,macbook air m2 2023 8gb/256gb/10 core gpu mqkr3sa/a bạc,apple m2,n/a,8,n/a,256,ssd,yes,15.3,2880x1864,n/a,n/a,thời lượng lên đến 18 giờ hãng công bố,thời lượng lên đến 18 giờ (hãng công bố),1.51,macos,12,26990000,34.04,23.76,1.15,n/a,n/a,n/a,n/a,n/a
nguyenkim,apple,macbook air m2 2023 8gb/512gb/10 core gpu mqkt3sa/a bạc,apple m2,n/a,8,n/a,512,ssd,yes,15.3,2880x1864,n/a,n/a,thời lượng lên đến 18 giờ hãng công bố,thời lượng lên đến 18 giờ (hãng công bố),1.51,macos,12,29990000,34.04,23.76,1.15,n/a,n/a,n/a,n/a,n/a
nguyenkim,msi,msi gf66 i7-12650h/8gb/512gb/win11 (12uck-805vn),intel core i7-12650h,geforce rtx 3050,8,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,53.5,3,2.25,windows 11 home,aaaaaaaaaaa,19990000,35.9,25.9,2.49,0,1,1,0,0
nguyenkim,apple,macbook pro m1 2020 13 inch 256gb myda2sa/a bạc,apple m1,n/a,8,đang cập nhật,256,ssd,yes,13.0,2560x1600,n/a,n/a,lithium-polymer,lithium-polymer,1.4,macos,12,27590000,30.41,21.24,1.56,n/a,n/a,n/a,n/a,n/a
nguyenkim,dell,dell inspiron 3530 i5-1335u/16gb/512gb/win11 (n5i5791w1),intel core i5-1335u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,41.0,3,1.66,windows 11 home,12,17990000,35.85,23.56,1.9,1,1,1,0,0
nguyenkim,dell,dell vostro 3530 i3-1305u/8gb/512gb/win11 (v5i3465w1),intel core i3-1305u,n/a,8,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,41.0,3,1.66,windows 11 home,12,13490000,35.85,23.56,1.9,1,1,1,0,0
nguyenkim,acer,acer nitro 5 gaming an515-45-r6ev r5 5600h/8gb/512gb/win11 (nh.qbmsv.006),amd ryzen 5 5600h,geforce gtx 1650,8,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,57.0,4,2.2,windows 11 home,12,18390000,36.34,25.5,2.39,3,1,1,0,0
nguyenkim,asus,asus vivobook i3-1220p/8gb/256gb/win11 a1403za-ly072w,intel core i3-1220p,n/a,8,ddr4,256,ssd,yes,14.0,1920x1200,n/a,n/a,50.0,3,1.6,windows 11 home,24,10490000,31.71,22.2,1.99,0,1,1,0,0
nguyenkim,hp,hp 14s-dq5122tu i3-1215u/8gb/256gb/win11 (8w356pa),intel core i3-1215u,n/a,8,ddr4,256,ssd,yes,14.0,1920x1080,n/a,n/a,41.04,3,1.34,windows 11 home,12,8990000,32.4,22.5,1.79,0,2,1,0,1
nguyenkim,dell,dell inspiron 14 2-in-1 7430 i5-1335u/8gb/512gb/win11 (n7430i58w1),intel core i5-1335u,n/a,8,ddr5,512,ssd,yes,14.0,1920x1200,n/a,n/a,54.0,4,1.62,windows 11 home,12,22990000,31.4,22.66,1.75,1,0,1,0,0
nguyenkim,msi,msi katana 15 i7-13620h/8gb/512gb/win11 (b13vek-252vn),intel core i7-13620h,geforce rtx 4050,8,ddr5,512,ssd,yes,15.6,1920x1080,n/a,n/a,53.5,3,2.25,windows 11 home,24,32990000,35.9,25.9,2.49,0,1,1,0,0
nguyenkim,dell,dell inspiron 15 3530 i5-1335u/16gb/512gb/win11 (n5i5007w1),intel core i5-1335u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,41.0,3,1.66,windows 11 home,12,18990000,35.85,23.56,1.9,0,1,1,0,1
nguyenkim,dell,dell inspiron 3530 i5-1335u/16gb/512gb/win11 (n5i5489w1),intel core i5-1335u,geforce mx550,16,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,41.0,3,1.66,windows 11 home,12,18990000,35.8,23.6,1.8,1,1,1,0,0
nguyenkim,dell,dell vostro 3430 i5-1335u/8gb/512gb/win11 (71011900),intel core i5-1335u,n/a,8,ddr4,512,ssd,yes,14.0,1920x1080,n/a,n/a,41.0,3,1.4,windows 11 home,12,16990000,35.8,23.5,1.9,1,2,1,0,0
nguyenkim,msi,msi gf63 thin i5-12450h/8gb/512gb/win11 (12ve-460vn),intel core i5-12450h,geforce rtx 4050,8,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,51.0,3,1.86,windows 11 home,aaaaaaaaaaa,17990000,35.9,25.4,2.17,3,1,1,0,0
