source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
hacom,hp,hp pavilion 15-eg3099tu,intel core i3-1315u,n/a,8,ddr4,256,ssd,hd,15.6,1920x1080,60,250,41.04,3,1.68,windows 11 home,12,12999000,36.02,23.4,1.8,0,2,1,0,1
hacom,hp,hp pavilion 15-eg3098tu,intel core i3-1315u,n/a,8,ddr4,256,ssd,hd,15.6,1920x1080,60,250,41.04,3,1.68,windows 11 home,12,12999000,36.02,23.4,1.8,0,2,1,0,1
hacom,microsoft,micorsoft surface pro 11 snapdragon® x elite/1tb ssd/32gb/ 13 inch,cpu: snapdragon x elite,n/a,16,ddr5,512,ssd,n/a,13.0,2880x1920,"màn hình: oled display, 13 inch, 2880 x 1920 (267 ppi), pixelsense, cảm ứng 10 chạm,",n/a,53.0,pin: 53whrs,0.895,windows,12,75999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp envy x360 14-fc0089tu,intel core ultra 7 155u,n/a,16,ddr5,512,ssd,n/a,14.0,2880x1800,"màn hình: 14"" oled (2880 x 1800)",n/a,n/a,n/a,n/a,windows 11 home,12,30999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp probook 460 g11,intel core ultra 7 155h,n/a,16,ddr5,512,ssd,n/a,n/a,n/a,n/a,n/a,56.0,3,n/a,windows 11 pro,12,29999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,apple,apple macbook air 13,apple m1 8-core,n/a,8,n/a,256,ssd,hd,13.3,2560x1600,retina 13.3 inch (2560x1600) ips led backlit true tone màn hình: 13.3 inch retina ips retina 13.3 inch (2560x1600) ips led backlit true tone,n/a,49.9,"built in polymer, 49.9whr up to 15 hours wireless web; up to 18 hours apple tv app movie playback built in polymer, 49.9whr up to 15 hours wireless web; up to 18 hours apple tv app movie playback",1.29,macos,12,18699000,n/a,n/a,n/a,0,0,0,0,0
hacom,apple,apple macbook air 13,apple m1 8-core,n/a,8,n/a,256,ssd,hd,13.3,2560x1600,retina 13.3 inch (2560x1600) ips led backlit true tone màn hình: 13.3 inch retina ips retina 13.3 inch (2560x1600) ips led backlit true tone,n/a,49.9,"built in polymer, 49.9whr up to 15 hours wireless web; up to 18 hours apple tv app movie playback built in polymer, 49.9whr up to 15 hours wireless web; up to 18 hours apple tv app movie playback",1.29,macos,12,18699000,n/a,n/a,n/a,0,0,0,0,0
hacom,apple,apple macbook air 13,apple m1 8-core,n/a,8,n/a,256,ssd,hd,13.3,2560x1600,retina 13.3 inch (2560x1600) ips led backlit true tone màn hình: 13.3 inch retina ips retina 13.3 inch (2560x1600) ips led backlit true tone,n/a,49.9,"built in polymer, 49.9whr up to 15 hours wireless web; up to 18 hours apple tv app movie playback built in polymer, 49.9whr up to 15 hours wireless web; up to 18 hours apple tv app movie playback",1.29,macos,12,18699000,n/a,n/a,n/a,0,0,0,0,0
hacom,dell,dell inspiron 3530,intel core i5-1335u,n/a,8,ddr4,512,ssd,hd,15.6,1920x1080,120,250,41.0,3,1.65,windows 11 home,12,16399000,n/a,n/a,n/a,0,1,1,0,1
hacom,dell,dell inspiron 3530,intel core i5-1335u,n/a,16,ddr4,512,ssd,n/a,15.6,1920x1080,120,250,n/a,n/a,n/a,windows 11 home,12,17499000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp envy x360 14-fc0088tu,intel core ultra 7 155u,n/a,16,ddr5,1024,ssd,n/a,14.0,7680x4320,"màn hình: 14"" 2.8k oled touch",n/a,n/a,n/a,n/a,windows 11 home,12,32199000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp elitebook 630 g11,intel core ultra 7 155u,n/a,16,ddr5,512,ssd,fhd,13.3,1920x1200,"13.3 inch wuxga, ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc",300,56.0,3,1.31,windows 11 pro,12,29999000,30.31,21.51,1.0,0,2,0,0,0
hacom,hp,hp elitebook 630 g11,intel core ultra 5 125u,n/a,16,ddr5,512,ssd,fhd,13.3,1920x1200,"13.3 inch wuxga touch, ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc",300,56.0,3,1.31,windows 11 pro,12,27999000,30.31,21.51,1.0,0,2,0,0,0
hacom,hp,hp elitebook 630 g11,intel core ultra 5 125u,n/a,16,ddr5,512,ssd,fhd,13.3,1920x1200,"13.3 inch wuxga, ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc",300,56.0,3,1.31,windows 11 pro,12,26999000,30.31,21.51,1.0,0,2,0,0,0
hacom,hp,hp elitebook 630 g11,intel core ultra 7 155u,n/a,16,ddr5,512,ssd,fhd,13.3,1920x1200,"13.3 inch wuxga touch, ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc ips, narrow bezel, anti-glare, 300 nits, 45% ntsc",300,56.0,3,1.31,windows 11 pro,12,30999000,30.31,21.51,1.0,0,2,0,0,0
hacom,microsoft,mircosoft surface 7 snapdragon® x plus,cpu: snapdragon x plus,n/a,16,ddr5,256,ssd,n/a,13.8,2304x1536,"màn hình: 13.8 inch, 2304 x 1536 (201 ppi), pixelsense, cảm ứng 10 chạm, dolby vision iq, gorilla glass 5",n/a,54.0,pin: 54whrs,n/a,windows,24,34999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,msi,msi modern 15 f13mg 082vn,intel core i5-1335u,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,60,n/a,n/a,n/a,1.7,windows 11 home,aaaaaaaaaaa,15299000,35.89,23.59,1.99,n/a,n/a,n/a,n/a,n/a
hacom,msi,msi modern 14,intel core i5-1335u,n/a,8,ddr4,512,ssd,hd,14.0,1920x1080,"màn hình: 14.0"" fhd (1920x1080), ips-level",n/a,39.0,3,1.4,windows 11 home,24,13990000,31.99,22.3,1.94,6,2,1,0,0
hacom,msi,msi prestige 16 studio,intel core i7-13700h,geforce rtx 4050,16,ddr5,1024,ssd,fhd,16.0,2560x1600,165,n/a,82.0,4,n/a,windows 11 home,24,39990000,35.8,25.86,1.69,0,1,1,0,0
hacom,lenovo,lenovo thinkpad e16 gen 1,intel core i5-1340p,n/a,8,ddr4,512,ssd,fhd,16.0,1920x1200,"16"" wuxga (1920x1200) ips 300nits anti-glare, 45% ntsc màn hình: 16"" wuxga (1920x1200) ips 300nits anti-glare, 45% ntsc 16"" wuxga (1920x1200) ips 300nits anti-glare, 45% ntsc",300,47.0,n/a,1.81,none os,24,17999000,35.61,24.77,1.99,2,4,1,1,1
