source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
fpt,lenovo,"lenovo gaming legion 9 16irx8 i9 13980hx/ai/64gb/2tb/16""3.2k",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,lenovo,"lenovo yoga book 9 13imu9 ultra 7 155u/ai/32gb/1tb/13.3""",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,"msi gaming vector gp78hx 13vi-476vn i9-13980hx/ai/32gb/2tb/17""qhd+/rtx4090_16gb/win11_balo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,msi gaming raider ge68 hx 14vig-496vn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,apple,macbook pro 16 2023 m3 max 16 cpu/40 gpu/48gb/1tb,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,apple,macbook pro 14 2023 m3 max 14 cpu/30 gpu/36gb/1tb,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,apple,macbook pro 16 2023 m3 pro 12 cpu/18 gpu/36gb/512gb,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,msi gaming katana 15 b13vgk-1211vn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,lenovo,"lenovo yoga 9 2in1 14imh9 ultra 7 155h/ai/16gb/1tb/14""2.8k_touch/bút/win11_xanh",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,asus,asus gaming rog zephyrus gu603vu-n3898w,intel core i7-13620h,geforce rtx 4050,16,ddr4,16,ssd,hd,16.0,1920x1200,165,250,90.0,90 wh,2.0,windows 11 home,aaaaaaaaaaa,n/a,35.5,24.3,1.6,1,1,0,0,0
fpt,apple,macbook pro 14 2023 m3 8 cpu/10 gpu/8gb/1tb,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,apple,macbook pro 16 2023 m3 max 14 cpu/30 gpu/36gb/1tb,apple m3 max 14-core,n/a,36,n/a,36,ssd,fhd,16.2,3456x2234,120,n/a,22 giờ,22 giờ,2.16,macos,aaaaaaaaaaa,n/a,35.57,16.2,1.68,0,3,1,0,0
fpt,apple,macbook air m2 13 2024 8cpu/8gpu/16gb/256gb,apple m2,n/a,16,ddr4,16,ssd,fhd,13.6,2560x1644,60,n/a,22 giờ,22 giờ,1.24,macos,aaaaaaaaaaa,n/a,30.41,21.5,1.36,0,2,0,0,0
fpt,lenovo,"lenovo gaming legion 5 15irx9 i7 13650hx/ai/24gb/512gb/15.6""fhd/rtx4060",intel core i7-13650hx,geforce rtx 4060,24,ddr5,24,ssd,hd,15.6,1920x1080,144,300,60.0,60 wh,2.32,windows 11 home,aaaaaaaaaaa,n/a,35.88,24.65,1.56,3,1,1,1,0
fpt,msi,msi prestige 14 ai studio c1udxg-058vn,intel core ultra 7 155h,geforce rtx 3050,16,ddr5,16,ssd,fhd,14.0,1920x1200,144,n/a,90.0,90 wh,1.7,windows 11 home,aaaaaaaaaaa,n/a,31.34,24.65,1.4,1,2,0,0,0
fpt,hp,hp envy x360 14-fa0092au,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,lenovo,"lenovo ideapad slim 5 14imh9 ultra5 125h/ai/16gb/1tb/14""wuxga/oled/win11",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,hp,hp envy x360 14-fc0155tu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,hp,hp envy x360 14-fa0093au,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,slim,"slim 5 - 14imh9 ultra7 155h/ai/32gb/512gb/14""wuxga",intel core ultra 7 155h,n/a,32,ddr5,32,ssd,fhd,14.0,1920x1200,60,400,57.0,57 wh,1.48,windows 11 home,aaaaaaaaaaa,n/a,31.2,22.1,1.4,2,2,1,0,0
fpt,lenovo,"lenovo ideapad slim 3 - 15abr8 r7 7730u/16gb/512gb/15.6""fhd/win",amd ryzen 7 7730u,n/a,16,ddr4,16,ssd,hd,15.3,1920x1200,60,300,47.0,47 wh,1.62,windows 11 home,aaaaaaaaaaa,n/a,35.93,23.5,1.53,2,1,1,0,0
fpt,acer,acer aspire 5 a515-58p-71ej,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,lenovo,"lenovo gaming legion pro 7 16irx9h i9 14900hx/ai/32gb/1tb/16""wqxga/rtx4090",intel core i9-14900hx,geforce rtx 4090,32,ddr5,32,ssd,fhd,16.0,2560x1600,240,500,99.9,99.9 wh,2.62,windows 11 home,aaaaaaaaaaa,n/a,36.35,25.9,1.6,4,2,1,1,0
fpt,lenovo,"lenovo ideapad 1 15alc7 r5 5625u/16gb/512gb/15.6""",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,hp,hp envy x360 14-fc0161tu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,hp,hp envy x360 14-fc0156tu,intel core ultra 7 155u,n/a,16,ddr5,16,ssd,5.0mp,14.0,2880x1800,120,n/a,59.0,59 wh,1.39,windows 11 home,aaaaaaaaaaa,n/a,31.33,21.89,1.4,2,2,1,0,1
fpt,lenovo,"lenovo ideapad slim 5 - 16imh9 ultra7 155h/ai/32gb/512gb/16""2k_oled/arc",intel core ultra 7 155h,n/a,32,ddr5,32,ssd,fhd,16.0,2048x1280,120,400,57.0,57 wh,1.82,windows 11 home,aaaaaaaaaaa,n/a,35.6,25.1,1.6,2,2,1,0,0
fpt,lenovo,"lenovo ideapad slim 5 - 16imh9 ultra5 125h/ai/16gb/512gb/16""2k_oled/arc",intel core ultra 5 125h,n/a,16,ddr5,16,ssd,fhd,16.0,2048x1280,120,400,57.0,57 wh,1.82,windows 11 home,aaaaaaaaaaa,n/a,35.6,25.1,1.6,2,2,1,0,0
fpt,lenovo,"lenovo ideapad slim 5 - 15iru9 core 5_120u/16gb/512gb/15.3""wuxga/win",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,msi modern 15 f13mg-082vn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,msi gaming stealth 14 ai studio a1vfg-050vn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,msi gaming stealth 16 mercedesamg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,"msi gaming raider ge68 hx 13vg-048vn i7-13700hx/ai/32gb/2tb/16""qhd+/rtx4070_8gb/win11",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
