source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
laptopaz,"dell inspiron 13 5330n 2024 (intel core ultra 5 125h, 16gb, 1tb, intel arc graphics, 13"" 2k+)",dell inspiron 13 5330n 2024,intel core ultra 5 125h,n/a,16,ddr5,1024,ssd,yes,13.3,2560x1600,n/a,300,64,4,1.24,windows,12,29990000,n/a,n/a,n/a,0,2,1,0,0
laptopaz,"dell inspiron 13 5330n 2024 (intel core ultra 7 155h, 16gb, 1tb, intel arc graphics, 13"" 2k+)",dell inspiron 13 5330n 2024,intel core ultra 7 155h,n/a,16,ddr5,1024,ssd,yes,13.3,2560x1600,n/a,300,64,4,1.24,windows,n/a,31990000,n/a,n/a,n/a,0,2,1,0,0
laptopaz,"dell inspiron 7440 plus 2024 (intel core ultra 5 125h, 16gb, 1tb, intel arc graphics, 14"" 2k+)",dell inspiron 7440 plus 2024,intel core ultra 5 125h,n/a,16,ddr5,1024,ssd,yes,14,2880x1800,n/a,300,64,4,1.6,windows,12,27990000,n/a,n/a,n/a,0,1,1,0,1
laptopaz,"dell inspiron 7640 plus 2024 (intel core ultra 5 125h, 16gb, 1tb, intel arc graphics, 16"" 2k+)",dell inspiron 7640 plus 2024,intel core ultra 5 125h,n/a,16,ddr5,1024,ssd,yes,16,2560x1600,n/a,300,64,4,1.9,windows,12,29990000,n/a,n/a,n/a,0,1,0,0,1
laptopaz,"lenovo thinkbook 16 g6+ 2024 (intel ultra 5 125h, 32gb, 1tb, intel arc graphics, 16.0"" 2.5k ips 120hz)",lenovo thinkbook 16 g6+ 2024,intel core ultra 5 125h,n/a,32,ddr5,1024,ssd,yes,16,2560x1440,120,n/a,85,4,1.9,windows,n/a,23890000,n/a,n/a,n/a,0,2,1,0,1
laptopaz,"msi cyborg 15 a12ucx-618vn (core i5-12450h, 16gb, 512gb, rtx 2050 4gb, 15.6"" fhd 144hz)",msi cyborg 15 a12ucx-618vn,intel core i5-12450h,geforce rtx 2050,16,ddr5,512,ssd,no,15.6,1920x1080,144,n/a,53.5,3,1.98,windows,24,17990000,n/a,n/a,n/a,0,1,1,0,1
laptopaz,"dell vostro 3420 (core i5-1235u, 8gb, 512gb, 14"" fhd)",dell vostro 3420,intel core i5-1235u,n/a,8,ddr4,512,ssd,no,n/a,1920x1080,60,n/a,41,3,1.48,windows,n/a,13690000,n/a,n/a,n/a,1,0,1,1,1
laptopaz,"lenovo thinkpad p16 (core i9-12900hx, 32gb, 512gb, rtx a2000 8gb, 16” fhd+)",lenovo thinkpad p16,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,36890000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,"asus expertbook b1 b1402cva-nk0176w (core i5-1335u, 16gb, 512gb, intel uhd, 14"" fhd)",asus expertbook b1 b1402cva-nk0176w,intel core i5-1335u,n/a,16,ddr4,512,ssd,yes,14,1920x1080,60,n/a,42,3,1.46,windows,12,14990000,n/a,n/a,n/a,0,1,1,1,1
laptopaz,"dell gaming g16 7630 2023 (core i7-13650hx, 16gb, 1tb, rtx 4060 8gb, 16"" 2k+ 165hz)",dell gaming g16 7630 2023,intel core i7-13650hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,16,2560x1440,165,n/a,86,6,2.65,windows,n/a,32990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,"acer nitro 5 tiger an515-58 (core i7 - 12650h, 16gb, 512gb, rtx 4050 6gb, 15.6"" fhd ips 144hz)",acer nitro 5 tiger an515-58,intel core i7-12650h,geforce rtx 4050,16,ddr5,512,ssd,no,15.6,1920x1080,144,n/a,57,4,2.4,windows 11 home,n/a,23990000,n/a,n/a,n/a,0,1,1,0,0
